_______________________________________________________________________________________________________________________________________________________________________________________

Gang Tournament 2 Results
Number of Strategies: 10   Tournament Iterations: 1   Game Iterations: 20   Spy Chance: 0%
_______________________________________________________________________________________________________________________________________________________________________________________

                                               Gang Member Strategies

Gang Name      Total Score    Member 1       Member 2       Member 3       Member 4       Member 5       

Gang 1         9228.5         Strategy3      Strategy8      Strategy9      Strategy9      Strategy9      
Gang 2         9914.5         Strategy7      Strategy4      Strategy3      Strategy10     Strategy2      
Gang 3         10141          Strategy3      Strategy4      Strategy3      Strategy10     Strategy9      
Gang 4         9552.5         Strategy10     Strategy8      Strategy1      Strategy1      Strategy7      
Gang 5         9438.5         Strategy4      Strategy1      Strategy8      Strategy4      Strategy10     
Gang 6         9729           Strategy8      Strategy7      Strategy6      Strategy6      Strategy7      
Gang 7         9817.5         Strategy10     Strategy3      Strategy9      Strategy7      Strategy7      
Gang 8         9810           Strategy3      Strategy7      Strategy6      Strategy7      Strategy9      
Gang 9         9978           Strategy3      Strategy7      Strategy6      Strategy3      Strategy5      
Gang 10        9685.5         Strategy1      Strategy5      Strategy4      Strategy2      Strategy6      
Gang 11        10155          Strategy10     Strategy2      Strategy10     Strategy10     Strategy9      
Gang 12        9951           Strategy3      Strategy9      Strategy7      Strategy2      Strategy4      
Gang 13        9780.5         Strategy10     Strategy7      Strategy4      Strategy5      Strategy1      
Gang 14        9761.5         Strategy9      Strategy2      Strategy10     Strategy1      Strategy4      
Gang 15        10149          Strategy9      Strategy5      Strategy10     Strategy6      Strategy4      
Gang 16        9790.5         Strategy7      Strategy4      Strategy10     Strategy9      Strategy1      
Gang 17        9485           Strategy2      Strategy2      Strategy5      Strategy8      Strategy6      
Gang 18        9731.5         Strategy8      Strategy1      Strategy1      Strategy8      Strategy4      
Gang 19        9746.5         Strategy1      Strategy4      Strategy3      Strategy6      Strategy10     
Gang 20        10145          Strategy3      Strategy6      Strategy9      Strategy4      Strategy6      
Gang 21        9229           Strategy3      Strategy10     Strategy2      Strategy4      Strategy8      
Gang 22        9755.5         Strategy10     Strategy1      Strategy6      Strategy10     Strategy9      
Gang 23        9853           Strategy1      Strategy10     Strategy5      Strategy5      Strategy7      
Gang 24        10179.5        Strategy4      Strategy6      Strategy5      Strategy3      Strategy6      
Gang 25        9703.5         Strategy2      Strategy8      Strategy3      Strategy7      Strategy7      
Gang 26        10151          Strategy9      Strategy6      Strategy10     Strategy6      Strategy6      
Gang 27        9249.5         Strategy4      Strategy2      Strategy8      Strategy2      Strategy2      
Gang 28        9450.5         Strategy1      Strategy5      Strategy8      Strategy2      Strategy3      
Gang 29        9913           Strategy1      Strategy7      Strategy5      Strategy1      Strategy9      
Gang 30        10090.5        Strategy5      Strategy7      Strategy3      Strategy10     Strategy5      
